Drug,Class
Myambutol,Miscellaneous antituberculosis agents
Mycamine,Echinocandins
Mycapssa,Somatostatin and somatostatin analogs
Mycelex,Topical antifungals
Clotrimazole Lozenge,Azole antifungals
Temovate E Cream,Topical steroids
Mycobutin,Rifamycin derivatives
Mycolog-II,Topical steroids with anti-infectives
Mycolog-II,Topical steroids with anti-infectives
Mycophenolate, Immunosuppressive Agents
Mycophenolic Acid Tablets,Selective immunosuppressants
Mycophenolate Tablets Delayed Release,Selective immunosuppressants
Mycostatin,Topical antifungals
Nystatin Vaginal Insert,Mouth and throat products
Mydayis ER Capsules,CNS stimulants
Amphetamine, Amphetamines
Phenergan,Antihistamines
Temozolomide, Antineoplastic Agents
Mydfrin Ophthalmic Solution,Mydriatics
Mydriacyl,Mydriatics
Myfembree,Sex hormone combinations
Myfortic,Selective immunosuppressants
Mykrox,Thiazide diuretics
Nifedipine, Dihydropyridines
Paliperidone, Atypical Antipsychotics
Busulfan, Antineoplastic Agents
Hydroxyurea, Antineoplastic Agents
Mylotarg,CD33 monoclonal antibodies
Temsirolimus, Antineoplastic Agents
Myobloc,Skeletal muscle relaxants
DOPamine, Selective beta-1-Adrenergic Agonists
Myorisan,Miscellaneous antineoplastics
Myoview,Radiologic conjugating agents
Myozyme,Lysosomal enzymes
Minocycline (Systemic), Tetracyclines
Myrbetriq,Urinary antispasmodics
Mysoline,Barbiturate anticonvulsants
Mytesi,Antidiarrheals
Nystatin and Triamcinolone Ointment,Topical steroids with anti-infectives
Tenapanor," GI Drugs, Miscellaneous"
Codeine Phosphate and Guaifenesin,Upper respiratory combinations
Insulin Regular,"Insulin, Short-Acting"
Cholecalciferol,Vitamin D Analog
Dvorah,Narcotic analgesic combinations
Gabapentin," Anticonvulsants, Miscellaneous"
Gabapentin Enacarbil,"Anticonvulsant, Miscellaneous"
Alprazolam, Benzodiazepines
Gabitril,Gamma-aminobutyric acid reuptake inhibitors
Gablofen,Skeletal muscle relaxants
Gadavist,Magnetic resonance imaging contrast media
Butalbital and Acetaminophen Capsule,Analgesic combinations
Gadobenate Dimeglumine,Diagnostic Agent
Gadobutrol,Diagnostic Agent
Gadofosveset,Diagnostic Agent
Gadopentetate Injection,Magnetic resonance imaging contrast media
Galafold,Miscellaneous metabolic agents
Galcanezumab-gnlm, Calcitonin Gene-related Peptide (CGRP) Antagonists
Gallium Citrate Ga 67,Diagnostic radiopharmaceuticals
Galsulfase,Enzyme
Galzin,Minerals and electrolytes
GamaSTAN,Immune globulins
Tenecteplase, Thrombolytic Agents
Gamifant,Selective immunosuppressants
Gammagard Liquid,Immune globulins
Gammagard S/D,Immune globulins
Gammaked,Immune globulins
Gammaplex,Immune globulins
Gamunex-C,Immune globulins
Ganciclovir Sodium, Nucleosides and Nucleotides
Ganciclovir, Antivirals
Ganirelix, Antigonadotropins
Gallium Nitrate, Bone Resorption Inhibitors
Tenex,"Antiadrenergic agents, centrally acting"
Gentamicin (Systemic), Aminoglycosides
Garamycin Eye Ointment,Ophthalmic anti-infectives
Garamycin Eye Drops,Ophthalmic anti-infectives
Gardasil 9,Viral vaccines
Gardasil,Viral vaccines
Human Papillomavirus Vaccine, Vaccines
Gastrocrom,Mast cell stabilizers
Oral Rehydration Therapy,"Electrolyte Replacement, Oral"
Gatifloxacin (EENT), Antibacterials
Gattex Injection,Miscellaneous GI agents
Teniposide, Antineoplastic Agents
Gavilax,Laxatives
"PEG-3350, Sodium Chloride, Sodium Bicarbonate and Potassium Chloride",Laxatives
Polyethylene Glycol-Electrolyte Solution and Bisacodyl,"Laxative, Bowel Evacuant"
GaviLyte C,Laxatives
Polyethylene Glycol-Electrolyte Solution,"Laxative, Osmotic"
Gavreto,Multikinase inhibitors
Gazyva,CD20 monoclonal antibodies
Duac,Topical acne agents
Duaklir Pressair,Bronchodilator combinations
Dual Action Complete,H2 antagonists
Diphtheria and Tetanus Toxoids, Toxoids
Duavee,Sex hormone combinations
Duetact,Antidiabetic combinations
Duexis,Nonsteroidal anti-inflammatory drugs
Dulaglutide, Incretin Mimetics
Dulcolax Suppository,Laxatives
Docusate Sodium,Laxatives
Bisacodyl, Cathartics and Laxatives
Dulera,Bronchodilator combinations
Duloxetine, Selective Serotonin- and Norepinephrine-reuptake Inhibitors
Perphenazine Amitriptyline,Psychotherapeutic combinations
Tenofovir Disoproxil Fumarate, HIV Nucleoside and Nucleotide Reverse Transcriptase Inhibitors
DuoDote,Antidotes
DuoNeb,Bronchodilator combinations
Duobrii Lotion,Topical antipsoriatics
Duopa,Dopaminergic antiparkinsonism agents
Lactulose, Ammonia Detoxicants
Dupilumab," Skin and Mucous Membrane Agents, Miscellaneous"
Dupixent,Interleukin inhibitors
Duraclon Injection,"Antiadrenergic agents, centrally acting"
Duragesic,Narcotic analgesics
Duramorph,Narcotic analgesics
Tenofovir Alafenamide, Nucleosides and Nucleotides
Morphine, Opiate Agonists
Durasal,Topical acne agents
Durezol,Ophthalmic steroids
Duricef,First generation cephalosporins
Durlaza,Platelet aggregation inhibitors
Durvalumab, Antineoplastic Agents
Durysta,Ophthalmic glaucoma agents
Dutasteride, 5-alpha-Reductase Inhibitors
Dutasteride and Tamsulosin,5 Alpha-Reductase Inhibitor
Dutoprol,Beta blockers with thiazides
Promethazine and Phenylephrine,Upper respiratory combinations
Atenolol and Chlorthalidone Tablets,Beta blockers with thiazides
Duvelisib, Antineoplastic Agents
Duzallo,Antihyperuricemic agents
Ketoconazole (Topical), Azoles
Kuvan,Miscellaneous metabolic agents
Ofatumumab, Immunomodulatory Agents
Ofatumumab (Systemic), Antineoplastic Agents
Ofev,Multikinase inhibitors
Ofirmev,Miscellaneous analgesics
Ofloxacin (Systemic), Quinolones
Ofloxacin (EENT), Antibacterials
Tenormin,Cardioselective beta blockers
Ofloxacin (Otic),"Antibiotic, Fluoroquinolone"
Oforta,Antimetabolites
Gynazole-1,Vaginal anti-infectives
Etelcalcetide, Antiparathyroid Agents
Eteplirsen, Antisense Oligonucleotides
Oxycodone, Opiate Agonists
Ethacrynic Acid, Loop Diuretics
Ethambutol, Antituberculosis Agents
Ethamolin,Sclerosing agents
Etonogestrel and Ethinyl Estradiol Vaginal Insert,Contraceptives
Diethylpropion, Amphetamine Derivatives
Norelgestromin and Ethinyl Estradiol,Contraceptives
Ethinyl Estradiol and Desogestrel,Contraceptive
Ethinyl Estradiol and Ethynodiol Diacetate,Contraceptive
Ethinyl Estradiol and Etonogestrel,Contraceptive
Ethinyl Estradiol and Levonorgestrel,Contraceptive
Ethinyl Estradiol and Norelgestromin,Contraceptive
Ethinyl Estradiol and Norethindrone,Contraceptive
Ethinyl Estradiol and Norgestimate,Contraceptive
Norgestrel and Ethinyl Estradiol,Contraceptives
Ethiodol,Iodinated contrast media
Tepadina Injection,Alkylating agents
Ethionamide, Antituberculosis Agents
Ethosuximide, Succinimides
Ethotoin,"Anticonvulsant, Hydantoin"
Ethyol,Antineoplastic detoxifying agents
Eticovo,Antirheumatics
Etidronate, Bone Resorption Inhibitors
Etodolac, Other Nonsteroidal Anti-inflammatory Agents
Etomidate," General Anesthetics, Miscellaneous"
Etonogestrel,Contraceptive
Etopophos,Mitotic inhibitors
Thiotepa, Antineoplastic Agents
Etravirine, HIV Nonnucleoside Reverse Transcriptase Inhibitors
Gvoke Injection,Glucose elevating agents
Glucagon, Glycogenolytic Agents
Aubagio,Selective immunosuppressants
Augmentin,Beta-lactamase inhibitors
Augmentin ES-600,Beta-lactamase inhibitors
Augmentin XR,Beta-lactamase inhibitors
Auranofin,Gold Compound
Antipyrine and Benzocaine Ear Drops,Otic anesthetics
Aurodex Ear Drops,Otic anesthetics
Tepezza,Growth hormone receptor blockers
Auryxia,Phosphate binders
Austedo,VMAT2 inhibitors
Anti-inhibitor Coagulant Complex, Hemostatics
Auvi-Q,Adrenergic bronchodilators
Ivabradine," Cardiac Drugs, Miscellaneous"
Ivacaftor, Cystic Fibrosis Transmembrane Conductance Regulator Potentiators
Lumacaftor and Ivacaftor, Cystic Fibrosis Transmembrane Conductance Regulator Correctors
Ivermectin (Systemic), Anthelmintics
Ivermectin (Topical), Scabicides and Pediculicides
Ivosidenib, Antineoplastic Agents
Tepmetko,Multikinase inhibitors
R-Tanna Pediatric Suspension,Upper respiratory combinations
R-Tanna Tablets,Upper respiratory combinations
Ovace Foam,Topical antibiotics
Ovace Wash,Topical antibiotics
Ovace Plus Cream,Topical antibiotics
Ovace Plus Foam,Topical antibiotics
Ovide,Topical anti-infectives
Ovidrel Injection,Gonadotropins
Twinject Auto-Injector,Adrenergic bronchodilators
Twinrix,Vaccine combinations
Teprotumumab-trbw," EENT Drugs, Miscellaneous"
Hepatitis A and Hepatitis B Recombinant Vaccine,Vaccine
Twirla,Contraceptives
Twynsta,Angiotensin II inhibitors with calcium channel blockers
Hypertonic Dextrose Injection,Glucose elevating agents
Trabectedin, Antineoplastic Agents
Tracleer,Agents for pulmonary hypertension
Tradjenta,Dipeptidyl peptidase 4 inhibitors
traMADol, Opiate Agonists
Tramadol and Acetaminophen,Narcotic analgesic combinations
Trametinib Dimethyl Sulfoxide, Antineoplastic Agents
Terconazole, Azoles
Trandate,Non-cardioselective beta blockers
Labetalol, beta-Adrenergic Blocking Agents
Trandolapril, Angiotensin-Converting Enzyme Inhibitors
Trandolapril and Verapamil,Angiotensin-Converting Enzyme (ACE) Inhibitor
Tranexamic Acid,Antifibrinolytic Agent
Transderm Nitro,Antianginal agents
Transderm Scop,Anticholinergic antiemetics
Scopolamine, Antimuscarinics/Antispasmodics
Clorazepate, Benzodiazepines
Tranxene T-Tab,Benzodiazepines
Terazol 7,Vaginal anti-infectives
Tranylcypromine, Monoamine Oxidase Inhibitors
Trastuzumab, Antineoplastic Agents
Trastuzumab and Hyaluronidase,"Antineoplastic Agent, Anti-HER2 "
Travoprost, Prostaglandin Analogs
Travatan Z,Ophthalmic glaucoma agents
Trazimera,HER2 inhibitors
traZODone, Serotonin Modulators
Treanda,Alkylating agents
Trecator,Nicotinic acid derivatives
Trelegy Ellipta,Bronchodilator combinations
Promethazine and Codeine,"Analgesic, Opioid"
Terazosin, alpha-Adrenergic Blocking Agents
Trelstar,Gonadotropin releasing hormones
Trelstar Depot,Gonadotropin releasing hormones
Trelstar LA,Gonadotropin releasing hormones
Tremfya,Interleukin inhibitors
Trental,Miscellaneous coagulation modifiers
Treprostinil, Vasodilating Agents
Tresiba,Insulin
Tretin X Gel,Topical acne agents
Tretin X,Topical acne agents
Tretinoin (Systemic), Antineoplastic Agents
Terbinafine (Systemic), Allylamines
Tretinoin (Topical), Cell Stimulants and Proliferants
Tretten,Miscellaneous coagulation modifiers
Trexall,Antimetabolites
Treximet,Antimigraine agents
Triamcinolone (Topical), Corticosteroids
Trezix,Narcotic analgesic combinations
Norgestimate and Ethinyl Estradiol,Contraceptives
Tri-Lo-Marzia,Contraceptives
Tri-Lo-Sprintec,Contraceptives
Tri-Luma,Topical depigmenting agents
Terbinafine (Topical), Allylamines
Tri-Norinyl,Contraceptives
Tri-Previfem,Contraceptives
Tri-Sprintec,Contraceptives
"Vitamins A, C, D and Fluoride",Vitamin and mineral combinations
Tri-Vitamin Drops with Fluoride,Vitamin and mineral combinations
TriLyte,Laxatives
TriNessa,Contraceptives
Triamcinolone (Systemic), Adrenals
Triamcinolone (Ophthalmic),"Corticosteroid, Ophthalmic"
Chlorpheniramine,Alkylamine Derivative
Terbinex,Miscellaneous antifungals
"Chlorpheniramine, Pseudoephedrine, and Dextromethorphan",Alkylamine Derivative
Acetaminophen and Pseudoephedrine,Alpha/Beta Agonist
Triamterene, Potassium-sparing Diuretics
Hydrochlorothiazide and Triamterene,Antihypertensive
Trianex Ointment,Topical steroids
Triaz Foaming Cloth,Topical acne agents
Triazolam, Benzodiazepines
Trimethobenzamide, Antihistamines
Tribenzor,Miscellaneous antihypertensive combinations
Sodium Citrate Anticoagulant Solution,Laxatives
Terbutaline, Selective beta-2-Adrenergic Agonists
Tricitrates,Minerals and electrolytes
Triclabendazole, Anthelmintics
Tricor,Fibric acid derivatives
Choline Magnesium Trisalicylate Liquid,Salicylates
Triderm,Topical steroids
Desonide, Corticosteroids
Trientine, Heavy Metal Antagonists
Triesence,Ophthalmic steroids
Trifarotene," Skin and Mucous Membrane Agents, Miscellaneous"
Triferic,Iron products
Teriflunomide, Immunomodulatory Agents
Triferic Avnu,Iron products
Trifluoperazine, Phenothiazines
Trifluridine, Antivirals
Trifluridine and Tipiracil, Antineoplastic Agents
Triglide,Fibric acid derivatives
Triheptanoin,Anaplerotic Agent
Trihexyphenidyl, Anticholinergic Agents
Trijardy XR,Antidiabetic combinations
Trikafta,CFTR combinations
Perphenazine, Phenothiazines
Teriparatide, Parathyroid Agents
Trileptal,Dibenzazepine anticonvulsants
Trilipix,Fibric acid derivatives
Trimethoprim, Urinary Anti-infectives
Polymyxin B and Trimethoprim Ophthalmic Solution,Ophthalmic anti-infectives
Trimipramine, Tricyclics and Other Norepinephrine-reuptake Inhibitors
Trimpex,Urinary anti-infectives
Nitroglycerin (Systemic), Nitrates and Nitrites
Trintellix,Miscellaneous antidepressants
Triostat,Thyroid drugs
Triphasil,Contraceptives
Isoflurane,General anesthetics
"Neomycin,Polymyxin B,Bacitracin,Hydrocortisone",Ophthalmic steroids with anti-infectives
Triple Antibiotic Ointment,Topical antibiotics
"Lansoprazole, Amoxicillin, and Clarithromycin","Antibiotic, Macrolide Combination"
Pyril Mal Phenyl HCl Dex HBr,Upper respiratory combinations
Triprolidine, First Generation Antihistamines
Triptodur,Gonadotropin releasing hormones
Triptorelin, Gonadotropins
Trisenox,Miscellaneous antineoplastics
Triumeq,Antiviral combinations
Trivaris,Ophthalmic steroids
Tersi Foam,Miscellaneous topical agents
Trizivir,Antiviral combinations
Trodelvy,Miscellaneous antineoplastics
Trogarzo,Miscellaneous antivirals
Trokendi XR,Carbonic anhydrase inhibitor anticonvulsants
Tromethamine, Alkalinizing Agents
Tropicacyl,Mydriatics
Trospium, Genitourinary Smooth Muscle Relaxants
Troxyca ER,Narcotic analgesic combinations
Trulance,Guanylate cyclase-C agonists
Trulicity,Incretin mimetics
Tesamorelin, Somatotropin Agonists
Trumenba,Bacterial vaccines
Truseltiq,Multikinase inhibitors
Trusopt,Ophthalmic glaucoma agents
Dorzolamide, Carbonic Anhydrase Inhibitors
Truvada,Antiviral combinations
Truxima,CD20 monoclonal antibodies
Theophylline in Dextrose,Methylxanthines
"Trypsin, Balsam Peru, and Castor Oil","Protectant, Topical"
Qelbree,CNS stimulants
Xodol,Narcotic analgesic combinations
Phenobarbital, Barbiturates
Teslac,Aromatase inhibitors
Xofigo,Therapeutic radiopharmaceuticals
Xofluza,Miscellaneous antivirals
Xolair,Selective immunosuppressants
Xolegel,Topical antifungals
Xopenex,Adrenergic bronchodilators
Xopenex Inhalation Solution Concentrate,Adrenergic bronchodilators
Xopenex HFA,Adrenergic bronchodilators
Levalbuterol Inhalation Solution Concentrate,Adrenergic bronchodilators
Levalbuterol,Beta2 Agonist
Xospata,Multikinase inhibitors
Benzonatate, Antitussives
Fluorometholone, Corticosteroids
FML Forte,Ophthalmic steroids
FML Ophthalmic Ointment,Ophthalmic steroids
Ulesfia,Topical anti-infectives
Ulipristal, Contraceptives
Uloric,Antihyperuricemic agents
Ultacan,Local injectable anesthetics
Articaine, Local Anesthetics
Ultane,General anesthetics
Ultiva,Narcotic analgesics
Testim,Androgens and anabolic steroids
Ultomiris,Selective immunosuppressants
"Bacitracin, Neomycin, and Polymyxin B (Topical)","Antibiotic, Topical"
Pancrelipase, Digestants
Ultracet,Narcotic analgesic combinations
Ultram,Narcotic analgesics
Ultram ER,Narcotic analgesics
Ultravate,Topical steroids
Halonate,Topical steroids
Halobetasol,"Corticosteroid, Topical"
Ultravist Injection,Non-ionic iodinated contrast media
Testosterone, Androgens
Ultresa,Digestive enzymes
Betamethasone (Systemic), Adrenals
Bacitracin, Bacitracins
BAL in Oil,Antidotes
Buprenorphine, Opiate Partial Agonists
Botulism Antitoxin (Equine), Antitoxins and Immune Globulins
Baby Orajel Teething Medicine,Topical anesthetics
BabyBIG,Immune globulins
BACiiM,Miscellaneous antibiotics
Lactobacillus Acidophilus, Antidiarrhea Agents
Testred,Androgens and anabolic steroids
Bacitracin (Topical), Antibacterials
Bacitracin (EENT), Antibacterials
BCG (Intravesical),"Antineoplastic Agent, Biological Response Modulator"
Bacitracin and Polymyxin B (Ophthalmic),"Antibiotic, Ophthalmic"
Bacitracin and Polymyxin B (Topical),"Antibiotic, Topical"
"Bacitracin, Neomycin, Polymyxin B, and Hydrocortisone (Ophthalmic)","Antibiotic, Ophthalmic"
"Bacitracin, Neomycin, and Polymyxin B (Ophthalmic)","Antibiotic, Ophthalmic"
Baclofen, GABA-derivative Skeletal Muscle Relaxants
Bactrim,Sulfonamides
Tetanus Immune Globulin, Antitoxins and Immune Globulins
Bactroban Cream,Topical antibiotics
Bactroban Ointment,Topical antibiotics
Bafiertam,Selective immunosuppressants
Propoxyphene and Acetaminophen Tablets,Narcotic analgesic combinations
Balanced Salt Solution,Ophthalmic lubricants and irrigations
Balcoltra,Contraceptives
Baloxavir," Antivirals, Miscellaneous"
Balsalazide, Anti-inflammatory Agents
Balsam Peru and Castor Oil,"Protectant, Topical"
Balversa,Multikinase inhibitors
Diphtheria and Tetanus Toxoids and Acellular Pertussis Vaccine Adsorbed, Toxoids
Bamlanivimab, Monoclonal Antibodies
Banzel,Dibenzazepine anticonvulsants
Baqsimi,Glucose elevating agents
Baraclude,Nucleoside reverse transcriptase inhibitors (NRTIs)
Barhemsys,Miscellaneous antiemetics
Baricitinib, Disease-modifying Antirheumatic Drugs
Baro-Cat,Non-iodinated contrast media
Barosperse Liquid,Non-iodinated contrast media
Barosperse,Non-iodinated contrast media
Tetracaine, Local Anesthetics
Dimethicone (Topical),"Protectant, Topical"
Basaglar,Insulin
Basiliximab, Immunosuppressive Agents
Bavencio,Anti-PD-1 monoclonal antibodies
Baxdela,Quinolones
Rho(D) Immune Globulin, Antitoxins and Immune Globulins
Baycadron,Glucocorticoids
Bazedoxifene, Estrogen Agonists-Antagonists
Skelaxin,Skeletal muscle relaxants
Skelid,Bisphosphonates
TetraVisc,Ophthalmic anesthetics
Sklice,Topical anti-infectives
Chlorhexidine (Topical)," Local Anti-infectives, Miscellaneous"
Skyla IUD,Contraceptives
Skyrizi Injection,Interleukin inhibitors
Risankizumab-rzaa," Skin and Mucous Membrane Agents, Miscellaneous"
Becaplermin, Cell Stimulants and Proliferants
Beclomethasone (EENT), Corticosteroids
"Beclomethasone (Systemic, Oral Inhalation)", Adrenals
Beconase Aq,Nasal steroids
Bedaquiline, Antituberculosis Agents
Tetrabenazine, Vesicular Monoamine Transporter 2 (VMAT2) Inhibitors
Cyanocobalamin,"Vitamin, Water Soluble"
Bekyree,Contraceptives
Belantamab Mafodotin-blmf, Antineoplastic Agents
Belatacept, Immunosuppressive Agents
Belbuca,Narcotic analgesics
Belinostat, Antineoplastic Agents
Belimumab, Immunosuppressive Agents
Belladonna, Antimuscarinics/Antispasmodics
Belladonna and Opium Suppository,Narcotic analgesic combinations
Belladonna and Opium,Analgesic Combination (Opioid)
"Hyoscyamine, Atropine, Scopolamine, and Phenobarbital",Anticholinergic Agent
Tetracaine and Oxymetazoline,Adrenergic Agonist Agent
Belrapzo,Alkylating agents
Belsomra,"Miscellaneous anxiolytics, sedatives and hypnotics"
Belviq,Anorexiants
Belviq XR,Anorexiants
Bempedoic Acid," Antilipemic Agents, Miscellaneous"
Bempedoic Acid and Ezetimibe,"Antilipemic Agent, 2-Azetidinone"
Benadryl Injection,Anticholinergic antiemetics
Benazepril, Angiotensin-Converting Enzyme Inhibitors
Benazepril and Hydrochlorothiazide,Angiotensin-Converting Enzyme (ACE) Inhibitor
Bendamustine, Antineoplastic Agents
Tetracaine,Local injectable anesthetics
Bendeka,Alkylating agents
BeneFIX,Miscellaneous coagulation modifiers
Probenecid, Uricosuric Agents
Benicar,Angiotensin receptor blockers
Benicar HCT,Angiotensin II inhibitors with thiazides
Benlysta,Selective immunosuppressants
Benprox Wash,Topical acne agents
Benprox,Topical acne agents
Benralizumab, Interleukin Antagonists
Bentyl,Anticholinergics / antispasmodics
Tetracycline, Tetracyclines
Benzefoam Ultra,Topical acne agents
BenzaClin,Topical acne agents
Benzamycin Gel,Topical acne agents
Erythromycin and Benzoyl Peroxide,Topical acne agents
Benzamycin Pak,Topical acne agents
BenzePrO Foam,Topical acne agents
BenzePrO Creamy Wash,Topical acne agents
Propylhexedrine, Vasoconstrictors
Benzhydrocodone and Acetaminophen,Analgesic Combination (Opioid)
Benznidazole," Antiprotozoals, Miscellaneous"
Tetrahydrozoline, Vasoconstrictors
Benzo-Jel Banana,Topical anesthetics
Benzo-Jel,Topical anesthetics
Acella Antipyrine and Benzocaine Otic Solution,Otic anesthetics
Benzoyl Peroxide Cleanser,Topical acne agents
Benzoyl Peroxide,Acne Products
Clindamycin and Benzoyl Peroxide,Acne Products
Benzphetamine,Anorexiant
Benztropine, Anticholinergic Agents
Beovu Injection,Anti-angiogenic ophthalmic agents
Bepotastine, Antiallergic Agents
Miconazole, Azoles
Bepreve,Ophthalmic antihistamines and decongestants
Beractant, Pulmonary Surfactants
Berinert,Hereditary angioedema agents
Up and Up Acid Controller Complete,H2 antagonists
Equate Acid Controller Maximum Strength,H2 antagonists
Beser Lotion,Topical steroids
Fluticasone Ointment,Topical steroids
Besifloxacin, Antibacterials
Besivance,Ophthalmic anti-infectives
Besponsa,Miscellaneous antineoplastics
Tev-Tropin,Growth hormones
Beta Carotene, Vitamin A
Povidone Iodine Swab,Antiseptic and germicides
Betadine Ophthalmic,Ophthalmic anti-infectives
Betagan,Ophthalmic glaucoma agents
Clotrimazole Betamethasone Cream,Topical steroids with anti-infectives
Calcipotriene and Betamethasone,"Corticosteroid, Topical"
Betamethasone and Clotrimazole,"Antifungal Agent, Topical"
Betapace,Group III antiarrhythmics
Betapace AF,Group III antiarrhythmics
Betasept Antiseptic Surgical Scrub,Antiseptic and germicides
fentaNYL, Opiate Agonists
Betaseron,Interferons
Betaxolol (Systemic), beta-Adrenergic Blocking Agents
Betaxolol (EENT), beta-Adrenergic Blocking Agents
Bethanechol, Parasympathomimetic (Cholinergic) Agents
Bethkis Inhalation Solution,Aminoglycosides
Betimol,Ophthalmic glaucoma agents
Betoptic S,Ophthalmic glaucoma agents
Betrixaban, Direct Factor Xa Inhibitors
Bevacizumab, Antineoplastic Agents
Bevespi Aerosphere,Bronchodilator combinations
Acetaminophen and Codeine,Analgesic Combination (Opioid)
Bevyxxa,Factor Xa inhibitors
Bexarotene (Systemic), Antineoplastic Agents
Bexarotene (Topical)," Skin and Mucous Membrane Agents, Miscellaneous"
Bexsero,Bacterial vaccines
Bextra,Cox-2 inhibitors
Bexxar,CD20 monoclonal antibodies
Beyaz,Contraceptives
Bezlotoxumab, Antitoxins and Immune Globulins
Glycerin and Lidocaine,Antihemorrhoidal Agent
Estradiol Vaginal Insert,Estrogens
Oxycodone and Acetaminophen,Analgesic Combination (Opioid)
valACYclovir, Nucleosides and Nucleotides
Valbenazine, Vesicular Monoamine Transporter 2 (VMAT2) Inhibitors
Valchlor Gel,Topical antineoplastics
Valcyte,Purine nucleosides
valGANciclovir, Nucleosides and Nucleotides
Valium,Benzodiazepine anticonvulsants
Valproic Acid and Derivatives,"Anticonvulsant, Miscellaneous"
Valproic Acid Syrup,Fatty acid derivative anticonvulsants
Valproate,Fatty acid derivative anticonvulsants
Valrubicin,"Antineoplastic Agent, Anthracycline"
